modules,N,target_hz,condition,temporal_repeat_n,batch_n,batch_id,rate_Hz_mean,rate_Hz_sample_sd,packet_Mbit_s_mean,packet_Mbit_s_sample_sd,raw_arrival_Mbit_s_mean,raw_arrival_Mbit_s_sample_sd,Lmean_B_mean,Lmean_B_sample_sd,recorded_repeat_n,eligible_repeat_n,review_required_n,statistics_basis,statistic_run_ids,source_review,review_required_run_ids
M0,1,200,zero_load,3,1,BATCH_a3da6b70a7684d359fd18d817b963390,200.100390372608,0.024259733883340837,1.7352705853112564,0.0002103804122361726,1.735270763077039,0.0002102277229067094,1084.0,0.0,3,3,0,all recorded windows including CHECK; diagnostic only,20260906_225934_745706;20260906_230014_784220;20260906_230054_835519,20260906_current_data_review,
M1,1,200,zero_load,3,1,BATCH_d49624f461e24a80b1176d3a6386840c,200.3735582207302,0.05269654306302369,1.737639496890172,0.00045698442144256754,1.7376397635364376,0.0004569844258505209,1084.0,0.0,3,3,0,all recorded windows including CHECK; diagnostic only,20260906_230200_451593;20260906_230240_486802;20260906_230320_515930,20260906_current_data_review,
M2,1,200,zero_load,3,1,BATCH_bd456b8e61be480ca230158c349c63e4,200.1970958882664,0.01942147227861931,1.7361092155430462,0.00016842300760008436,1.7361094821910459,0.00016842301029596846,1084.0,0.0,3,3,0,all recorded windows including CHECK; diagnostic only,20260906_230445_150722;20260906_230525_193234;20260906_230605_248880,20260906_current_data_review,
M3,1,200,zero_load,3,1,BATCH_cc0eb326656541f899210da5cd6ce59e,200.33143708789476,0.0495009705736299,1.7372742224262234,0.00042927241681447103,1.7372744890607865,0.000429272457195377,1084.0,0.0,3,3,0,all recorded windows including CHECK; diagnostic only,20260906_230909_089519;20260906_230949_124162;20260906_231029_180830,20260906_current_data_review,
M0_M1,2,200,zero_load,3,1,BATCH_011a17c511724e4c87760f72a6433c4a,200.07411840612573,0.016066662408851583,3.406061791745884,0.00027351886084827113,3.406062058392866,0.0002735188578106335,2128.0,0.0,3,3,0,all recorded windows including CHECK; diagnostic only,20260906_234631_872633;20260906_234711_905577;20260906_234751_945640,20260906_n2_full_review,
M0_M2,2,200,zero_load,3,1,BATCH_8b70d810a0494c63acc0cb8f81cf45f4,200.09278865480894,0.03640170023610454,3.406379634059467,0.0006197025448195346,3.4063798118154027,0.000619575307046796,2128.0,0.0,3,3,0,all recorded windows including CHECK; diagnostic only,20260906_232205_264776;20260906_232245_299955;20260906_232325_329233,20260906_n2_full_review,
M0_M3,2,200,zero_load,3,1,BATCH_990964af54fc4a8e9e474a2376acbf02,200.15034402957784,0.016622953729708182,3.4073594567595333,0.00028298916429445704,3.407359634530753,0.00028286520035762224,2128.0,0.0,3,3,0,all recorded windows including CHECK; diagnostic only,20260906_232950_210894;20260906_233030_242504;20260906_233110_283624,20260906_n2_full_review,
M1_M2,2,200,zero_load,3,1,BATCH_9870b18f5c6f405aba45d08917c5bf8e,200.2085299100343,0.02302401613963838,3.4083500131884232,0.0003919608507611946,3.4083501909497174,0.0003918400958917708,2128.0,0.0,3,3,0,all recorded windows including CHECK; diagnostic only,20260906_233400_039763;20260906_233440_083230;20260906_233520_115774,20260906_n2_full_review,
M1_M3,2,200,zero_load,3,1,BATCH_d441cd5ac6fb45fe847fa468454f1d8b,200.39700299971162,0.028674957800819145,3.4115585790670906,0.00048816248160096076,3.4115587568320476,0.0004880559428294428,2128.0,0.0,3,3,0,all recorded windows including CHECK; diagnostic only,20260906_233935_041252;20260906_234015_080026;20260906_234055_124089,20260906_n2_full_review,
M2_M3,2,200,zero_load,3,1,BATCH_9161ebb9271141febb469a6abcd14cb4,200.20203279427105,0.021589863761800616,3.4082394062896704,0.00036754584068061675,3.4082396729294477,0.00036754584586190926,2128.0,0.0,3,3,0,all recorded windows including CHECK; diagnostic only,20260906_234339_617031;20260906_234419_667943;20260906_234459_699129,20260906_n2_full_review,
M0_M1_M2,3,200,zero_load,3,1,BATCH_5ccf81b3a4814c0a88241ef83d9e4bcf,200.09184266456603,0.06799764318128679,5.077530599456028,0.0017255081933687966,5.07800352991604,0.0009064094684913978,3172.0,0.0,3,2,1,all recorded windows including CHECK; diagnostic only,20260907_000133_670681;20260907_000213_737553;20260907_000253_764287,20260907_n3_full_review,20260907_000133_670681
M0_M1_M3,3,200,zero_load,3,1,BATCH_99a81ef679d94018b7b50eb637f57582,199.7669082237092,0.5569588767389314,5.069285063084845,0.014133388456126881,5.069375814310446,0.01397644529285843,3172.0,0.0,3,3,0,all recorded windows including CHECK; diagnostic only,20260907_001345_234235;20260907_001425_309099;20260907_001505_375008,20260907_n3_full_review,
M0_M2_M3,3,200,zero_load,3,1,BATCH_5e558777cbde42149caff5504c6a2042,200.16594208285287,0.03661586886726978,5.079410946294474,0.0009291642883753899,5.079411212930575,0.0009291642858931318,3172.0,0.0,3,3,0,all recorded windows including CHECK; diagnostic only,20260907_001710_986331;20260907_001751_034069;20260907_001831_069491,20260907_n3_full_review,
M1_M2_M3,3,200,zero_load,3,1,BATCH_dc8d0a297550491886808808275de52f,200.2185287227097,0.040178447183146934,5.080745384867481,0.0010195682757197547,5.080745473749125,0.0010196738474057077,3172.0,0.0,3,3,0,all recorded windows including CHECK; diagnostic only,20260907_003258_918645;20260907_003339_025463;20260907_003419_073823,20260907_n3_full_review,
