modules,N,target_hz,condition,temporal_repeat_n,recorded_repeat_n,eligible_repeat_n,review_required_n,batch_n,recorded_batch_n,batch_id,statistics_scope,statistics_basis,primary_matrix_selected_n,statistic_run_ids,review_required_run_ids,repeat_interpretation,rate_Hz_mean,rate_Hz_sample_sd,packet_Mbit_s_mean,packet_Mbit_s_sample_sd,raw_arrival_Mbit_s_mean,raw_arrival_Mbit_s_sample_sd,Lmean_B_mean,Lmean_B_sample_sd,main_packets_total,main_window_seconds_total,mode,rate_Hz_known_n,Lmean_B_known_n,packet_Mbit_s_known_n,raw_arrival_Mbit_s_known_n,K_ESKD_mean,K_ESKD_sample_sd,K_ESKD_known_n,q_ESKF_mean,q_ESKF_sample_sd,q_ESKF_known_n,q_ESKF_pct_mean,q_ESKF_pct_sample_sd,q_ESKF_pct_known_n,K_effective_mean,K_effective_sample_sd,K_effective_known_n,load_layers,actual_load_protocol,loading_relationship_between_modules,dynamic_analysis_selected_n,equal_rate_FULL_saving_pct_mean,equal_rate_FULL_saving_pct_sample_sd,equal_rate_FULL_saving_pct_known_n
M0,1,200,zero_load,3,3,3,0,1,1,BATCH_a3da6b70a7684d359fd18d817b963390,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260906_225934_745706;20260906_230014_784220;20260906_230054_835519,,temporal windows; not independent setup blocks,200.100390372608,0.024259733883340837,1.7352705853112564,0.0002103804122361726,1.735270763077039,0.0002102277229067094,1084.0,0.0,18010,90.00482210001792,FULL,,,,,,,,,,,,,,,,,,,,,,,
M1,1,200,zero_load,3,3,3,0,1,1,BATCH_d49624f461e24a80b1176d3a6386840c,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260906_230200_451593;20260906_230240_486802;20260906_230320_515930,,temporal windows; not independent setup blocks,200.3735582207302,0.05269654306302369,1.737639496890172,0.00045698442144256754,1.7376397635364376,0.0004569844258505209,1084.0,0.0,18035,90.00688620001893,FULL,,,,,,,,,,,,,,,,,,,,,,,
M2,1,200,zero_load,3,3,3,0,1,1,BATCH_bd456b8e61be480ca230158c349c63e4,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260906_230445_150722;20260906_230525_193234;20260906_230605_248880,,temporal windows; not independent setup blocks,200.1970958882664,0.01942147227861931,1.7361092155430462,0.00016842300760008436,1.7361094821910459,0.00016842301029596846,1084.0,0.0,18019,90.00630069998442,FULL,,,,,,,,,,,,,,,,,,,,,,,
M3,1,200,zero_load,3,3,3,0,1,1,BATCH_cc0eb326656541f899210da5cd6ce59e,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260906_230909_089519;20260906_230949_124162;20260906_231029_180830,,temporal windows; not independent setup blocks,200.33143708789476,0.0495009705736299,1.7372742224262234,0.00042927241681447103,1.7372744890607865,0.000429272457195377,1084.0,0.0,18032,90.01083760001347,FULL,,,,,,,,,,,,,,,,,,,,,,,
M0_M1,2,200,zero_load,3,3,3,0,1,1,BATCH_011a17c511724e4c87760f72a6433c4a,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260906_234631_872633;20260906_234711_905577;20260906_234751_945640,,temporal windows; not independent setup blocks,200.07411840612573,0.016066662408851583,3.406061791745884,0.00027351886084827113,3.406062058392866,0.0002735188578106335,2128.0,0.0,18008,90.00664420003886,FULL,,,,,,,,,,,,,,,,,,,,,,,
M0_M2,2,200,zero_load,3,3,3,0,1,1,BATCH_8b70d810a0494c63acc0cb8f81cf45f4,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260906_232205_264776;20260906_232245_299955;20260906_232325_329233,,temporal windows; not independent setup blocks,200.09278865480894,0.03640170023610454,3.406379634059467,0.0006197025448195346,3.4063798118154027,0.000619575307046796,2128.0,0.0,18010,90.00824240001384,FULL,,,,,,,,,,,,,,,,,,,,,,,
M0_M3,2,200,zero_load,3,3,3,0,1,1,BATCH_990964af54fc4a8e9e474a2376acbf02,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260906_232950_210894;20260906_233030_242504;20260906_233110_283624,,temporal windows; not independent setup blocks,200.15034402957784,0.016622953729708182,3.4073594567595333,0.00028298916429445704,3.407359634530753,0.00028286520035762224,2128.0,0.0,18014,90.00234340000316,FULL,,,,,,,,,,,,,,,,,,,,,,,
M1_M2,2,200,zero_load,3,3,3,0,1,1,BATCH_9870b18f5c6f405aba45d08917c5bf8e,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260906_233400_039763;20260906_233440_083230;20260906_233520_115774,,temporal windows; not independent setup blocks,200.2085299100343,0.02302401613963838,3.4083500131884232,0.0003919608507611946,3.4083501909497174,0.0003918400958917708,2128.0,0.0,18020,90.00615530001232,FULL,,,,,,,,,,,,,,,,,,,,,,,
M1_M3,2,200,zero_load,3,3,3,0,1,1,BATCH_d441cd5ac6fb45fe847fa468454f1d8b,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260906_233935_041252;20260906_234015_080026;20260906_234055_124089,,temporal windows; not independent setup blocks,200.39700299971162,0.028674957800819145,3.4115585790670906,0.00048816248160096076,3.4115587568320476,0.0004880559428294428,2128.0,0.0,18037,90.0063357000181,FULL,,,,,,,,,,,,,,,,,,,,,,,
M2_M3,2,200,zero_load,3,3,3,0,1,1,BATCH_9161ebb9271141febb469a6abcd14cb4,all_recorded_including_CHECK_diagnostic_only,"sample mean and SD across recorded windows; selection by batch/integrity, never rate",3,20260906_234339_617031;20260906_234419_667943;20260906_234459_699129,,temporal windows; not independent setup blocks,200.20203279427105,0.021589863761800616,3.4082394062896704,0.00036754584068061675,3.4082396729294477,0.00036754584586190926,2128.0,0.0,18020,90.00907619998907,FULL,,,,,,,,,,,,,,,,,,,,,,,
