run_id,started_at,mode,condition,N,target_hz,modules,block,batch_id,repeat,old_relative_path,new_relative_path,duration_s,main_duration_s,main_packets,main_status,full_status,full_review_reasons,main_rate_Hz,main_Lmean_B,main_packet_Mbit_s,main_raw_arrival_Mbit_s,source_local_firmware,deployment_confirmed
20260906_225934_745706,2026-09-06T22:59:34.745706+01:00,FULL,zero_load,1,200,M0,1,BATCH_a3da6b70a7684d359fd18d817b963390,1,20260906_225934_745706,FULL/N=1/200Hz/M0/Repeat_1,40.00156010000501,30.00156010000501,6003,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.08959467407823,1084.0,1.7351769650136064,1.7351772316664063,four-module-variable-spi,False
20260906_230014_784220,2026-09-06T23:00:14.784220+01:00,FULL,zero_load,1,200,M0,1,BATCH_a3da6b70a7684d359fd18d817b963390,2,20260906_230014_784220,FULL/N=1/200Hz/M0/Repeat_2,40.002488600002835,30.002488600002835,6003,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.0834024148061,1084.0,1.7351232657411986,1.7351235323857463,four-module-variable-spi,False
20260906_230054_835519,2026-09-06T23:00:54.835519+01:00,FULL,zero_load,1,200,M0,1,BATCH_a3da6b70a7684d359fd18d817b963390,3,20260906_230054_835519,FULL/N=1/200Hz/M0/Repeat_3,40.000773400010075,30.000773400010075,6004,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.12817402893967,1084.0,1.7355115251789646,1.7355115251789646,four-module-variable-spi,False
20260906_230200_451593,2026-09-06T23:02:00.451593+01:00,FULL,zero_load,1,200,M1,1,BATCH_d49624f461e24a80b1176d3a6386840c,1,20260906_230200_451593,FULL/N=1/200Hz/M1/Repeat_1,40.003053599997656,30.003053599997656,6010,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.31294414647414,1084.0,1.7371138516382236,1.7371141182777499,four-module-variable-spi,False
20260906_230240_486802,2026-09-06T23:02:40.486802+01:00,FULL,zero_load,1,200,M1,1,BATCH_d49624f461e24a80b1176d3a6386840c,2,20260906_230240_486802,FULL/N=1/200Hz/M1/Repeat_2,40.000113500020234,30.000113500020234,6012,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.39924182273327,1084.0,1.7378622250867428,1.7378624917524006,four-module-variable-spi,False
20260906_230320_515930,2026-09-06T23:03:20.515930+01:00,FULL,zero_load,1,200,M1,1,BATCH_d49624f461e24a80b1176d3a6386840c,3,20260906_230320_515930,FULL/N=1/200Hz/M1/Repeat_3,40.003719100001035,30.003719100001035,6013,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.40848869298316,1084.0,1.73794241394555,1.737942680579162,four-module-variable-spi,False
20260906_230445_150722,2026-09-06T23:04:45.150722+01:00,FULL,zero_load,1,200,M2,1,BATCH_bd456b8e61be480ca230158c349c63e4,1,20260906_230445_150722,FULL/N=1/200Hz/M2/Repeat_1,40.00239179999335,30.002391799993347,6007,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.21737066980546,1084.0,1.7362850384485529,1.7362853050939608,four-module-variable-spi,False
20260906_230525_193234,2026-09-06T23:05:25.193234+01:00,FULL,zero_load,1,200,M2,1,BATCH_bd456b8e61be480ca230158c349c63e4,2,20260906_230525_193234,FULL/N=1/200Hz/M2/Repeat_2,40.00319839999429,30.00319839999429,6006,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.17865828601603,1084.0,1.7359493246563311,1.7359495912945706,four-module-variable-spi,False
20260906_230605_248880,2026-09-06T23:06:05.248880+01:00,FULL,zero_load,1,200,M2,1,BATCH_bd456b8e61be480ca230158c349c63e4,3,20260906_230605_248880,FULL/N=1/200Hz/M2/Repeat_3,40.000710499996785,30.000710499996785,6006,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.1952587089777,1084.0,1.7360932835242546,1.736093550184606,four-module-variable-spi,False
20260906_230909_089519,2026-09-06T23:09:09.089519+01:00,FULL,zero_load,1,200,M3,1,BATCH_cc0eb326656541f899210da5cd6ce59e,1,20260906_230909_089519,FULL/N=1/200Hz/M3/Repeat_1,40.0016869000101,30.0016869000101,6011,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.35540068241883,1084.0,1.7374820347179363,1.737482301369609,four-module-variable-spi,False
20260906_230949_124162,2026-09-06T23:09:49.124162+01:00,FULL,zero_load,1,200,M3,1,BATCH_cc0eb326656541f899210da5cd6ce59e,2,20260906_230949_124162,FULL/N=1/200Hz/M3/Repeat_2,40.00881070000469,30.008810700004688,6010,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.27451471107653,1084.0,1.7367805915744559,1.7367808581628281,four-module-variable-spi,False
20260906_231029_180830,2026-09-06T23:10:29.180830+01:00,FULL,zero_load,1,200,M3,1,BATCH_cc0eb326656541f899210da5cd6ce59e,3,20260906_231029_180830,FULL/N=1/200Hz/M3/Repeat_3,40.00033999999869,30.000339999998687,6011,PASS,CHECK REQUIRED,unassigned_raw_bytes_in_full_capture,200.3643958701889,1084.0,1.7375600409862781,1.7375603076499226,four-module-variable-spi,False
